year,month,group_center,refer_point1,refer_point2,refer_point3,refer_point4,group
2012,7,69258.2,66483.77777777778,40483.51612903226,53184.5,35694.25,0
2012,8,65419.431818181816,54163.77777777778,57857.2,59367.529411764706,28299.25925925926,0
2012,9,58539.76470588235,59837.48717948718,32231.625,66658.6,26373.275862068964,0
2012,10,49539.621212121216,59070.11111111111,33212.519230769234,52012.944444444445,25927.702702702703,0
2012,11,41127.82352941176,58564.70491803279,25776.60714285714,44392.969696969696,28676.384615384617,0
2012,12,53351.688524590165,59154.46078431373,40282.64473684211,48611.219696969696,41336.07594936709,0
2013,1,57331.512605042015,61900.555555555555,44015.203125,58104.22222222222,35561.22222222222,0
2013,2,62899.58108108108,55473.75384615385,52861.568181818184,65724.72463768115,36223.3,0
2013,3,61522.1007751938,56223.42608695652,52162.63636363636,62682.031746031746,36932.96590909091,0
2013,4,50766.57575757576,51972.179487179485,40436.49230769231,55312.57547169811,41229.818181818184,0
2013,5,53260.08888888889,49348.84251968504,37095.90217391304,51035.43650793651,37746.71604938272,0
2013,6,55783.85,55213.48062015504,36525.92473118279,64000.92741935484,26244.743902439026,0
2013,7,55813.484615384616,58841.45360824742,38548.10975609756,62879.30107526882,34826.32258064516,0
2013,8,52464.824817518245,62468.3831775701,33799.5,56892.379310344826,40233.37234042553,0
2013,9,61207.92105263158,75152.83870967742,45593.66086956522,72533.58035714286,41316.68595041322,0
2013,10,59120.574257425746,69461.9375,50307.14906832298,64530.35042735043,45472.839622641506,0
2013,11,63019.6149068323,63964.333333333336,57609.80172413793,68472.31775700934,44843.831168831166,0
2013,12,66345.86931818182,63369.330357142855,52640.53097345133,67063.21323529411,45323.2962962963,0
2014,1,62784.35,76022.71153846153,65006.455555555556,58658.635294117645,62882.555555555555,0
2014,2,59062.30841121495,61016.5,60358.957746478874,51870.88888888889,64889.586956521736,0
2014,3,62510.8064516129,68060.76190476191,54649.27419354839,61592.211267605635,56793.31578947369,0
2014,4,67922.69230769231,78205.08333333333,63573.074468085106,67816.04716981133,51409.78947368421,0
2014,5,65932.87209302325,76101.58139534884,47226.74418604651,62172.29885057471,45295.78378378379,0
2014,6,69301.41176470589,78546.97297297297,72652.04166666667,69684.98360655738,50626.02380952381,0
2014,7,73160.08571428571,81162.36956521739,60469.50632911392,67344.02666666667,61189.40740740741,0
2014,8,69186.47872340426,62305.63043478261,62759.46835443038,67178.35593220338,59693.943396226416,0
2014,9,61106.9081632653,68750.05128205128,54294.24590163935,64716.03389830508,38514.666666666664,0
2014,10,63415.46666666667,59484.61224489796,51429.68292682927,58412.704225352114,42454.97435897436,0
2014,11,72016.55844155845,66626.48717948717,56478.48888888889,67940.56944444444,49913.181818181816,0
2014,12,70528.30666666667,62042.02469135803,64990.77272727273,72441.99224806202,42067.42465753425,0
2015,1,96670.73333333334,78386.82352941176,58219.64705882353,96935.0,38947.44,0
2015,2,65792.08571428571,104762.53846153847,55395.153846153844,54857.2,46934.416666666664,0
2015,3,74640.26666666666,78737.46666666666,59757.181818181816,71617.48979591837,43397.875,0
2015,4,68725.10294117648,69947.37837837837,59513.64444444444,68409.20967741935,59255.44,0
2015,5,66661.57,79466.88888888889,51426.21333333333,68473.84,55696.943396226416,0
2015,6,70638.32530120482,71614.6052631579,49023.426666666666,64794.044444444444,55880.97368421053,0
2015,7,66021.51923076923,84064.5,47741.914893617024,76762.85365853658,44089.91428571429,0
2015,8,71130.08620689655,83226.66666666667,54534.901960784315,57168.15151515151,53358.217391304344,0
2015,9,66554.13559322034,68487.0,61125.73469387755,53910.70909090909,47238.62962962963,0
2015,10,50259.575,53818.0,46494.91176470588,51543.94736842105,44359.269230769234,0
2015,11,61920.969696969696,58200.6,40936.04255319149,70156.83928571429,42872.80487804878,0
2015,12,88569.91358024691,105801.65909090909,65114.07352941176,93020.7356321839,32109.54761904762,0
2016,1,57108.44680851064,73555.73684210527,29391.314285714285,66158.35,48118.26666666667,0
2016,2,54945.03333333333,46280.0,39142.09523809524,67333.46153846153,51776.41176470588,0
2016,3,52436.94736842105,52895.42857142857,41097.80487804878,58152.862068965514,40611.22857142857,0
2016,4,102549.9,92199.66666666667,63922.333333333336,72337.44117647059,39836.705882352944,0
2016,5,69963.28260869565,75004.88461538461,45283.717948717946,65165.42307692308,47175.84210526316,0
2016,6,69731.83333333333,54554.21428571428,60982.84,60848.27777777778,39734.94736842105,0
2016,7,64881.083333333336,57366.57894736842,58146.34782608696,54507.514285714286,47604.8064516129,0
2016,8,60126.295454545456,45595.230769230766,58374.0,45832.04255319149,73231.05882352941,0
2016,9,56856.1,83826.58823529411,51611.0243902439,52407.18918918919,43239.48387096774,0
2016,10,55020.61111111111,79156.46153846153,40443.5641025641,60794.53846153846,35323.153846153844,0
2016,11,57612.362068965514,53300.85,46263.94871794872,56656.264150943396,44191.181818181816,0
